id	author_id	instance_id	centralLatitude	centralLongitude	areaCoordinates	DATE_FORMAT(createdAt,'_%Y_%m_%d_%H_%i_%s')	address
87	29	iremember	38.208278995888	-7.805948406458	38.208557725107,-7.8058424592018;38.208387010548,-7.8064727783203;38.207775806993,-7.8060409426689;38.208395440906,-7.8054374456406	_2016_07_27_11_31_52	{"streetNumber":"26","streetName":"N258","postalCode":"7960","locality":"Vidigueira","subLocality":null,"country":"PT"}
88	108	iremember	40.181100000000	44.513600000000		_2016_09_15_18_41_02	{"streetNumber":"12","streetName":"Northern Avenue","postalCode":"0001","locality":"Yerevan","subLocality":"Kentron","country":"AM"}
89	110	iremember	40.181100000000	44.513600000000		_2016_09_15_18_58_07	{"streetNumber":"12","streetName":"Northern Avenue","postalCode":"0001","locality":"Yerevan","subLocality":"Kentron","country":"AM"}
90	110	iremember	40.181100000000	44.513600000000		_2016_09_15_19_06_52	{"streetNumber":"12","streetName":"Northern Avenue","postalCode":"0001","locality":"Yerevan","subLocality":"Kentron","country":"AM"}
91	111	NULL	40.761536544147	-73.984690904617	40.762243537686,-73.986053466797;40.761008329553,-73.985967636108;40.761008329553,-73.9830493927;40.761885979798,-73.983693122864	_2016_10_06_19_30_10	{"streetNumber":"214","streetName":"West 50th Street","postalCode":"10019","locality":"New York","subLocality":"Manhattan","country":"US"}
92	42	NULL	43.851625800000	10.271229700000		_2016_10_10_13_02_32	{"streetNumber":"25","streetName":"Via della Ferrovia","postalCode":"55049","locality":"Ferrovia","subLocality":null,"country":"IT"}
93	113	NULL	45.438600000000	12.326700000000		_2016_11_03_07_32_39	{"streetNumber":"2416","streetName":"San Polo","postalCode":"30125","locality":"Venezia","subLocality":null,"country":"IT"}
94	12	NULL	45.765367491428	11.740951538086		_2016_11_03_07_34_26	{"streetNumber":"59","streetName":"Largo Parolini","postalCode":"36061","locality":"Bassano del Grappa","subLocality":null,"country":"IT"}
95	117	NULL	41.863041142556	12.485468387604		_2016_11_16_23_31_51	{"streetNumber":"3","streetName":"Via Edgardo Ferrati","postalCode":"00154","locality":"Roma","subLocality":null,"country":"IT"}
97	112	NULL	41.861857779856	12.486946284771	41.861794656594,12.48640447855;41.862212152195,12.486688792706;41.862166207836,12.487246692181;41.861632851346,12.487284243107;41.861483031307,12.487107217312	_2016_12_16_14_11_56	{"streetNumber":"2","streetName":"Via degli Armatori","postalCode":"00154","locality":"Roma","subLocality":null,"country":"IT"}
98	112	NULL	41.861926497435	12.486935555935	41.861886545812,12.48667538166;41.862066328682,12.486761212349;41.862050348003,12.487163543701;41.861702767244,12.487142086029	_2016_12_16_14_13_15	{"streetNumber":"2","streetName":"Via degli Armatori","postalCode":"00154","locality":"Roma","subLocality":null,"country":"IT"}
99	42	NULL	41.921057000000	12.377763200000		_2017_02_10_15_59_59	{"streetNumber":"42","streetName":"Via Trecate","postalCode":"00166","locality":"Roma","subLocality":null,"country":"IT"}
100	128	NULL	41.906119811023	12.435621132263		_2017_03_23_10_18_09	{"streetNumber":"257","streetName":"Viale di Valle Aurelia","postalCode":"00167","locality":"Roma","subLocality":null,"country":"IT"}
101	129	NULL	41.860867766665	12.486364245415		_2017_03_24_12_12_21	{"streetNumber":"2","streetName":"Largo delle Sette Chiese","postalCode":"00145","locality":"Roma","subLocality":null,"country":"IT"}
102	132	NULL	41.891900000000	12.511300000000		_2017_04_03_07_59_37	{"streetNumber":"14","streetName":"Via di Porta Maggiore","postalCode":"00185","locality":"Roma","subLocality":null,"country":"IT"}
103	132	NULL	51.517618300000	-0.096778200000		_2017_04_03_08_05_33	{"streetNumber":"150","streetName":"London Wall","postalCode":"EC2Y 5HN","locality":"London","subLocality":null,"country":"GB"}
104	135	caetani	41.894379079206	12.430483102798		_2017_04_03_08_22_44	{"streetNumber":"603","streetName":"Via Gregorio VII","postalCode":"00165","locality":"Roma","subLocality":null,"country":"IT"}
105	133	caetani	41.896133200000	12.440684900000		_2017_04_03_08_25_13	{"streetNumber":"339-341","streetName":"Via Gregorio VII","postalCode":"00165","locality":"Roma","subLocality":null,"country":"IT"}
106	132	NULL	38.206758527907	13.326248824596	38.206829485157,13.326019048691;38.206525985125,13.326040506363;38.206576568551,13.326303362846;38.206749394993,13.326448202133;38.206901144702,13.326405286789;38.206968588915,13.326276540756	_2017_04_03_08_26_25	{"streetNumber":"16","streetName":"Via Torre di Mondello","postalCode":"90151","locality":"Palermo","subLocality":null,"country":"IT"}
107	147	caetani	41.935533700000	12.466935500000		_2017_04_03_08_31_09	{"streetNumber":null,"streetName":"Ponte Milvio","postalCode":"00196","locality":"Roma","subLocality":null,"country":"IT"}
110	151	caetani	41.912728800000	12.503890000000		_2017_04_08_13_59_36	{"streetNumber":"127","streetName":"Via Alessandria","postalCode":"00198","locality":"Roma","subLocality":null,"country":"IT"}
111	150	caetani	41.909377091146	12.464477088361		_2017_04_10_03_53_38	{"streetNumber":"1","streetName":"Via Duilio","postalCode":"00192","locality":"Roma","subLocality":null,"country":"IT"}
112	150	caetani	41.923480000000	12.452550000000		_2017_04_10_04_43_35	{"streetNumber":"92","streetName":"Viale del Parco Mellini","postalCode":"00136","locality":"Roma","subLocality":null,"country":"IT"}
